,importance
140,0.0011930935694338112
238,0.00119014007230087
360,0.0011833273738544887
386,0.0011808752174932416
248,0.0011807029082189077
582,0.0011775069263419372
106,0.0011764538977918123
168,0.0011756486751239052
116,0.0011670643628932257
482,0.0011600580109993785
413,0.001130756759118849
87,0.0011263355712518267
565,0.0011197696720149654
38,0.001097154928467743
204,0.0010938854797679764
143,0.0010743599646778918
357,0.0010609127462351709
151,0.0010553302067659307
41,0.0010546671512843952
283,0.0010510798545259991
483,0.0010328277785997691
301,0.0010321985785138104
545,0.001023740190650684
334,0.0009798167210720605
166,0.0009784372559590237
148,0.00097392465228463
239,0.0009703843443367291
277,0.0009668842260173197
305,0.0009395318486632729
553,0.0009133553716108363
566,0.0009131598730649247
367,0.0008833669371890393
332,0.000864293401329431
362,0.0008315645767061499
568,0.0007843566169606199
80,0.0007646264967893776
564,0.0007482743075059648
418,0.0006424716924255277
544,0.0005972326094301286
94,0.0005644049276648292
389,0.0005366034339703663
167,0.00044000150348238906
101,0.00036227622839856853
114,9.989475682665848e-05
387,6.008784446507367e-05
209,2.8150298368408046e-18
521,2.7459019746196383e-18
249,1.7903673987417974e-18
347,3.8371601975152926e-19
74,3.230612553176134e-19
206,0.0
342,0.0
478,0.0
